2016/7/1_14:9:22||	$pS170.281339,	$187820.316978,	B2379.838800,	S-5529.874744,	SC1103,	Num0		,	29.550000,	80.536000,	54.056000,	-102.299000,	-269.392000,	374.651000,	209.750000,	203.930000,	-44.479000,	-39.699000,	-484.142000,	489.294000,	-382.153000,	-495.792000,	-144.743000,	348.765000,	24.289000,	1.453000,	-500.000000,	-223.583000,	-47.353000,	50.519000,	-103.841000,	432.567000,	28.482000,	482.574000,	-96.998000,	-433.186000,	23.709000,	115.988000,	126.990000,	-485.574000,	-447.495000,	-487.211000,	-359.511000,	-493.159000,	277.339000,	-495.738000,	439.304000,	-153.803000,	116.613000,	-157.732000,	-87.753000,	28.884000,	160.056000,	-69.479000,	-497.807000,	222.907000,	-442.321000,	-48.986000
2016/8/2_19:29:8||	$pS21.501844,	$15459.825484,	B1944.065547,	S-4638.403252,	SC719,	Num0,	GUID26224265		,	-4.209000,	-461.883000,	-9.733000,	476.564600,	-106.571800,	338.280000,	-462.277000,	-229.098800,	135.915400,	-293.882000,	35.789400,	-46.335600,	286.484600,	-405.208800,	-416.913000,	498.410600,	391.418600,	471.477800,	-233.482800,	-411.541000,	131.480200,	-487.579600,	277.645600,	-238.515000,	190.506000,	-287.358200,	-448.458200,	-47.342600,	-181.376800,	2.174000,	-100.852000,	-325.051200,	-391.256400,	-339.452800,	-213.931600,	-386.925000,	-272.640200,	-363.522000,	-240.816600,	-106.507400,	-417.107400,	-292.951600,	-171.987400,	-248.515400,	-224.783400,	-297.644800,	-318.645800,	-209.623200,	-60.189200,	-155.137000
2016/8/2_19:29:13||	$pS26.078236,	$17733.200445,	B3310.334034,	S-29269.851798,	SC680,	Num0,	GUID57310530		,	-8.595600,	-385.119600,	-70.552000,	414.869200,	172.911200,	372.575400,	-295.157800,	-26.223200,	214.790400,	-139.609200,	-76.207000,	-311.066800,	338.602600,	-499.464200,	-395.202000,	374.684200,	438.086000,	458.434400,	-360.782800,	-263.210600,	264.453800,	-491.598600,	143.570200,	-336.157200,	80.769000,	-417.943600,	-479.638200,	-52.846400,	-298.909400,	131.851200,	-169.947600,	83.661400,	-460.849600,	-317.292400,	-340.750400,	-468.200600,	-364.583000,	-445.072000,	-414.276600,	-91.823000,	-480.641800,	-201.204000,	-318.367600,	-204.823800,	-19.273200,	-253.643400,	-493.522000,	-363.067200,	-85.192600,	141.352400
2016/8/2_19:29:19||	$pS38.147811,	$29869.736084,	B3227.146134,	S-44392.987500,	SC783,	Num0,	GUID63409541		,	71.762200,	44.970000,	-94.548800,	469.524600,	175.316200,	238.903800,	-476.989400,	29.141200,	119.363200,	377.181400,	17.205000,	-500.000000,	118.700400,	-453.907000,	-466.716200,	156.235600,	447.228200,	494.026600,	-448.012400,	-219.548400,	135.731600,	-293.738200,	-20.467600,	-498.765200,	-91.929400,	-437.433400,	-296.583400,	104.407800,	-411.679200,	-20.405800,	-375.624200,	-9.371400,	-95.319600,	-461.700000,	-38.385800,	-499.195200,	-276.372400,	-103.409000,	-474.763600,	-379.702800,	-478.703200,	-209.710000,	-467.229400,	-287.884800,	50.086000,	-409.938400,	-330.687800,	-345.574000,	-364.700800,	200.530200
2016/8/2_19:29:26||	$pS20.851319,	$20163.225078,	B3003.153433,	S-14376.925997,	SC967,	Num0,	GUID179349431		,	14.643800,	205.080200,	-147.032800,	97.780400,	-162.065400,	421.213200,	-387.479000,	-464.364200,	52.017000,	-177.092600,	-87.974800,	-454.753200,	84.736000,	-497.565200,	-195.420600,	9.909600,	467.096600,	470.443600,	-440.169600,	-393.578600,	448.631400,	20.368400,	-159.006800,	-389.160800,	115.430600,	-215.890600,	389.269200,	-339.812600,	-466.503600,	-344.897400,	-442.903000,	-401.002000,	-450.995200,	-238.540400,	-323.089600,	-496.909400,	-484.289400,	-7.983800,	-384.814800,	-487.631200,	-134.430400,	-208.383200,	-322.359000,	-303.813800,	-59.957400,	-52.914200,	78.790000,	-293.175800,	-429.364000,	-38.926200
2016/8/2_19:29:31||	$pS21.117116,	$14422.990386,	B2576.623180,	S-25894.762375,	SC683,	Num0,	GUID117553440		,	31.746200,	81.163200,	-69.965800,	370.106000,	93.869200,	121.752600,	-38.946400,	-99.831400,	-246.459000,	197.602800,	263.784000,	-246.601800,	55.894400,	-473.219400,	-255.062800,	175.164400,	184.626400,	467.798000,	-462.671800,	-102.028600,	124.087200,	440.483800,	242.742400,	-475.305000,	153.732800,	-106.305400,	-20.866000,	-88.621800,	-166.312200,	393.958000,	-205.308800,	-294.036600,	-209.055000,	228.666200,	-235.307400,	-484.494400,	-493.028400,	438.927400,	-117.365200,	-429.912600,	-222.496000,	-470.344800,	-438.927000,	24.917800,	-288.183000,	188.292600,	-36.509000,	-476.553600,	-450.849200,	119.193600
2016/8/2_19:29:36||	$pS41.426288,	$24772.920361,	B2542.236703,	S-17371.054438,	SC598,	Num0,	GUID361480145		,	-20.871400,	-121.804800,	50.988400,	-340.686400,	-312.462800,	409.382400,	259.969200,	-405.037200,	-5.567200,	-10.232400,	86.220400,	-480.147200,	-498.851600,	-232.506000,	-470.343200,	-203.114400,	247.789200,	271.455600,	-1.265600,	322.398000,	-217.224000,	-499.156400,	413.702800,	-477.199200,	131.158000,	383.681600,	-499.390400,	-30.510400,	-331.674800,	235.509600,	109.739200,	474.306800,	-487.125200,	-187.956400,	-488.095200,	226.750400,	-482.501200,	-459.094800,	-442.220400,	-152.008000,	-297.680000,	-232.124000,	-475.215200,	-231.146400,	-400.379600,	96.970000,	36.304400,	77.517200,	465.085600,	-164.025200
2016/8/2_19:29:43||	$pS16.875099,	$17904.479620,	B1089.471598,	S-3674.910232,	SC1061,	Num0,	GUID149498784		,	15.599000,	69.842400,	28.194800,	-130.340000,	-196.632800,	-488.821600,	-466.636000,	-82.371200,	-212.454000,	188.908400,	166.945600,	-334.091200,	-384.998800,	-129.571200,	-162.982000,	-434.667600,	-448.140800,	-483.013600,	182.410000,	130.537200,	259.378800,	-463.393200,	487.210400,	44.135600,	101.953200,	482.434000,	-363.063600,	29.646400,	-372.481600,	279.209200,	-249.128800,	170.161200,	108.754400,	207.392400,	-499.994000,	181.308800,	-208.952000,	-495.888800,	-404.960000,	-108.076800,	-466.558800,	-498.381600,	-500.000000,	-340.716400,	-407.540000,	252.940000,	-439.738400,	-482.037200,	-499.132000,	-374.169600
2016/8/2_19:29:51||	$pS20.400208,	$21522.219704,	B1052.188222,	S-2768.887060,	SC1055,	Num0,	GUID164326816		,	18.303000,	57.487200,	20.829600,	-132.930400,	-184.035600,	-499.226000,	-444.479200,	-88.132400,	-226.861600,	199.569600,	165.148000,	-347.475600,	-376.441200,	-111.746800,	-187.194000,	-456.284800,	-440.157200,	-466.313200,	183.230000,	138.827600,	256.397200,	-431.843600,	498.408400,	49.094800,	77.299600,	460.884800,	-330.631200,	44.168800,	-356.370000,	278.246800,	-233.493200,	170.855600,	125.994000,	222.764800,	-472.554000,	173.000000,	-200.337200,	-499.032800,	-402.327200,	-134.969200,	-451.863200,	-499.080000,	-490.103200,	-338.268400,	-428.506800,	267.639600,	-465.606400,	-480.379200,	-494.735200,	-390.547200
2016/8/2_19:29:57||	$pS34.541184,	$21001.039682,	B1292.849791,	S-6845.514828,	SC608,	Num0,	GUID221801272		,	-57.411000,	-22.519200,	-25.233200,	271.290000,	-226.086800,	-472.042400,	-323.665200,	257.096400,	48.257600,	424.789600,	298.869200,	-101.838000,	-2.803600,	79.000400,	-346.229200,	-392.403600,	-7.938400,	-268.791600,	-89.384400,	283.256000,	56.030000,	-156.244400,	482.688000,	25.902400,	-61.474000,	416.699600,	-492.888800,	-466.909200,	-267.219200,	108.063600,	-286.566800,	489.128800,	146.270800,	492.653600,	-478.032800,	278.322800,	-96.925600,	-494.623200,	-437.056000,	82.069200,	-394.860400,	-438.091600,	-399.220000,	-499.075200,	-453.265200,	-312.986800,	-279.739600,	-485.952800,	-426.668400,	-483.506400
2016/8/2_19:30:3||	$pS46.226174,	$36241.320032,	B1286.371349,	S-125780.173713,	SC784,	Num0,	GUID770600520		,	-11.137800,	-115.496000,	-488.037600,	257.726400,	-452.929200,	-360.826400,	-497.948000,	-302.450000,	298.044800,	369.418800,	-98.136800,	338.584000,	-194.745600,	-382.269600,	-494.065600,	-315.225200,	346.944200,	79.754000,	-23.308000,	-303.994800,	-473.922000,	-78.793200,	457.252000,	-5.182400,	-85.687600,	251.603600,	-161.446800,	156.367200,	-492.270400,	-429.794000,	-168.656400,	80.481800,	-209.012000,	-457.729200,	-241.272400,	-461.792800,	-494.092800,	-161.435600,	-497.056800,	-267.571200,	-224.724800,	-470.805600,	-484.355200,	308.260600,	-473.302000,	-238.173200,	-411.026400,	-17.688400,	-355.355600,	-473.932400
2016/8/2_19:30:9||	$pS48.822541,	$35738.100039,	B1529.869686,	S-26007.811524,	SC732,	Num0,	GUID160939913		,	34.726200,	44.055200,	-271.678800,	95.730000,	-464.731200,	-499.533200,	-362.025200,	-348.677400,	-99.093600,	357.623800,	146.060000,	381.080400,	-9.664000,	-457.824400,	-492.590000,	349.828000,	68.909800,	322.180400,	-279.782000,	-114.261600,	-476.096800,	-422.128400,	479.148400,	225.448400,	-24.656800,	293.534000,	-445.953600,	406.577400,	-332.787600,	-445.436000,	-499.410400,	-246.326200,	-404.924400,	-481.919600,	-423.054000,	-95.801400,	-388.119000,	-196.209200,	-363.023000,	-486.310200,	-167.538000,	-412.451200,	-470.026800,	161.386200,	-265.651800,	-462.880800,	-478.586800,	298.618400,	-320.683600,	-467.717200
2016/8/2_19:30:15||	$pS30.123071,	$31388.239700,	B1711.617122,	S-21767.017852,	SC1042,	Num0,	GUID663840960		,	-9.395600,	-182.172200,	-76.303000,	285.270800,	-257.657400,	-471.224600,	-499.642400,	-218.222400,	-465.289200,	473.425200,	10.296200,	106.828400,	83.119200,	-227.257600,	-476.910800,	297.540800,	-325.961200,	216.980400,	193.013600,	-360.515800,	-394.609400,	86.891800,	404.434800,	261.696000,	275.532800,	363.542000,	-361.870000,	-105.800400,	-428.203200,	-285.763400,	-400.669200,	473.621200,	-421.847200,	-266.977000,	-81.199200,	-490.763800,	0.377000,	-412.623000,	-371.750000,	-205.991600,	209.162600,	-408.267000,	-153.644600,	-494.313600,	102.961600,	-194.573200,	-496.744400,	244.766600,	-285.188600,	-338.627600
2016/8/2_19:30:22||	$pS29.836196,	$25480.111668,	B1621.717103,	S-9624.992116,	SC854,	Num0,	GUID87325307		,	-16.378400,	-99.015600,	24.034000,	-400.474000,	-470.251600,	154.203600,	358.268400,	34.121600,	14.396400,	91.335200,	327.735200,	-92.152000,	-345.329600,	131.639600,	-348.077600,	-500.000000,	269.359200,	403.967600,	-1.852400,	51.925200,	-276.364400,	-213.462400,	-280.192400,	-276.936400,	169.541200,	326.737600,	216.575200,	209.868400,	3.972000,	317.298800,	-9.308400,	-258.640000,	-500.000000,	472.374800,	-58.985600,	68.495600,	173.802400,	0.389200,	-349.844000,	-388.301200,	-19.032000,	-90.660800,	-282.793600,	-244.551600,	-21.451200,	-71.508800,	-499.561200,	-91.018000,	-498.648000,	-370.663200
2016/8/2_19:30:27||	$pS25.870657,	$30734.340559,	B1493.804807,	S-18189.340217,	SC1188,	Num0,	GUID526964987		,	435.562400,	3.429600,	37.756600,	-481.752600,	-476.326000,	96.109400,	403.484600,	-269.753600,	412.766600,	17.477200,	356.280000,	499.337200,	-460.017200,	3.623800,	-358.823400,	207.249800,	-160.250600,	149.737200,	-24.567200,	-114.933200,	133.973000,	-114.736200,	299.011800,	-444.959400,	-320.404000,	30.297200,	-296.478200,	-396.418000,	-118.945800,	61.978000,	-12.538200,	286.559400,	-332.689600,	-62.089000,	265.319400,	-329.960600,	131.511400,	-297.151800,	-142.432400,	-231.246000,	154.503000,	49.777600,	143.761000,	-327.162800,	188.708600,	104.908000,	-176.376800,	57.975000,	-390.487800,	43.718200
2016/8/2_19:30:36||	$pS43.379085,	$37913.320462,	B1629.516895,	S-25342.888382,	SC874,	Num0,	GUID17782499		,	-19.977600,	-81.567200,	-150.036400,	168.911600,	-499.563200,	-282.858000,	131.699200,	-473.056400,	-5.817600,	-496.851200,	366.492000,	367.887600,	-158.639600,	98.828000,	-357.512000,	438.959200,	440.222400,	211.415200,	-205.804000,	-105.420000,	152.812400,	-203.500800,	52.805200,	226.962000,	-227.486400,	309.804800,	-2.201200,	-482.187200,	-500.000000,	-397.154800,	-454.817200,	-387.227600,	-500.000000,	316.914000,	260.264400,	8.635200,	-92.349600,	-464.642000,	-354.938000,	-497.035200,	494.600800,	-471.589600,	-494.077600,	-413.782000,	-122.244400,	377.765600,	-214.976000,	-497.860000,	-486.208000,	-425.157600
2016/8/2_19:30:44||	$pS47.441543,	$34916.975993,	B1556.927137,	S-15657.146254,	SC736,	Num0,	GUID363789476		,	-120.096200,	-12.964000,	70.364200,	-222.515800,	-465.932600,	-96.397400,	491.761400,	-355.661200,	360.511000,	-140.092000,	188.013800,	209.040800,	-498.349600,	100.692200,	-432.903200,	344.031400,	-410.473200,	-145.543000,	-234.637400,	-131.264400,	-232.240800,	-121.889600,	484.895800,	-464.718800,	365.658200,	373.142200,	272.480800,	-12.358000,	-278.075200,	233.570200,	91.139400,	-108.764600,	-226.983200,	163.083600,	-27.470200,	14.027200,	21.957800,	-285.990600,	427.109000,	-445.561400,	-214.803800,	-84.280800,	-292.773800,	-404.003400,	-500.000000,	403.605200,	-465.104000,	-145.999000,	-271.338200,	-228.419200
2016/8/2_19:31:8||	$pS14.429120,	$105462.441515,	B-8124.325392,	S-856.105847,	SC7309,	Num0,	GUID10646955		,	-21.108800,	384.878600,	3.338600,	-256.426600,	-414.701600,	449.518600,	296.691600,	142.146400,	-319.482200,	-374.653000,	-164.861600,	477.974200,	-427.604200,	-288.965600,	-476.754400,	-11.642200,	-47.358800,	93.064200,	-388.719400,	467.417200,	-197.842600,	-14.049800,	484.073600,	-403.414400,	158.390800,	391.625400,	-297.116400,	-377.823800,	-429.731600,	-497.644000,	419.143200,	-408.692800,	-442.345200,	-100.065200,	-450.608800,	-195.719200,	151.823400,	-422.995600,	353.055400,	-447.022600,	408.754000,	-491.237000,	74.228000,	-62.591000,	-348.815600,	-29.387600,	-329.980600,	-41.822800,	-289.907800,	-480.910400
2016/8/2_19:31:53||	$pS16.402584,	$15779.285557,	B1846.310521,	S-3431.790444,	SC962,	Num0,	GUID266825862		,	16.072400,	114.874600,	8.781800,	-390.784400,	-488.018400,	314.630800,	-154.314000,	498.875000,	-488.235400,	-493.785200,	-347.688400,	240.734000,	-100.957000,	-486.378600,	-422.358200,	-20.078000,	-145.173200,	-481.693400,	-232.007400,	378.365000,	-34.415800,	-346.572000,	437.673400,	-417.779000,	300.317400,	294.445200,	-454.715000,	-496.872200,	-498.402600,	-379.156000,	367.989400,	-486.366800,	-492.968000,	-310.747000,	-484.541400,	-447.236800,	-16.740400,	-286.605400,	392.065600,	-500.000000,	346.098000,	-477.237600,	150.926600,	-422.881400,	-493.049400,	99.443400,	-474.237600,	-482.137200,	-333.017000,	-480.583000
2016/8/2_19:32:0||	$pS29.836196,	$25480.111668,	B1621.717103,	S-9624.992116,	SC854,	Num0,	GUID87325307		,	-16.378400,	-99.015600,	24.034000,	-400.474000,	-470.251600,	154.203600,	358.268400,	34.121600,	14.396400,	91.335200,	327.735200,	-92.152000,	-345.329600,	131.639600,	-348.077600,	-500.000000,	269.359200,	403.967600,	-1.852400,	51.925200,	-276.364400,	-213.462400,	-280.192400,	-276.936400,	169.541200,	326.737600,	216.575200,	209.868400,	3.972000,	317.298800,	-9.308400,	-258.640000,	-500.000000,	472.374800,	-58.985600,	68.495600,	173.802400,	0.389200,	-349.844000,	-388.301200,	-19.032000,	-90.660800,	-282.793600,	-244.551600,	-21.451200,	-71.508800,	-499.561200,	-91.018000,	-498.648000,	-370.663200
2016/8/2_19:32:6||	$pS25.870657,	$30734.340559,	B1493.804807,	S-18189.340217,	SC1188,	Num0,	GUID526964987		,	435.562400,	3.429600,	37.756600,	-481.752600,	-476.326000,	96.109400,	403.484600,	-269.753600,	412.766600,	17.477200,	356.280000,	499.337200,	-460.017200,	3.623800,	-358.823400,	207.249800,	-160.250600,	149.737200,	-24.567200,	-114.933200,	133.973000,	-114.736200,	299.011800,	-444.959400,	-320.404000,	30.297200,	-296.478200,	-396.418000,	-118.945800,	61.978000,	-12.538200,	286.559400,	-332.689600,	-62.089000,	265.319400,	-329.960600,	131.511400,	-297.151800,	-142.432400,	-231.246000,	154.503000,	49.777600,	143.761000,	-327.162800,	188.708600,	104.908000,	-176.376800,	57.975000,	-390.487800,	43.718200
2016/8/2_19:32:14||	$pS43.379085,	$37913.320462,	B1629.516895,	S-25342.888382,	SC874,	Num0,	GUID17782499		,	-19.977600,	-81.567200,	-150.036400,	168.911600,	-499.563200,	-282.858000,	131.699200,	-473.056400,	-5.817600,	-496.851200,	366.492000,	367.887600,	-158.639600,	98.828000,	-357.512000,	438.959200,	440.222400,	211.415200,	-205.804000,	-105.420000,	152.812400,	-203.500800,	52.805200,	226.962000,	-227.486400,	309.804800,	-2.201200,	-482.187200,	-500.000000,	-397.154800,	-454.817200,	-387.227600,	-500.000000,	316.914000,	260.264400,	8.635200,	-92.349600,	-464.642000,	-354.938000,	-497.035200,	494.600800,	-471.589600,	-494.077600,	-413.782000,	-122.244400,	377.765600,	-214.976000,	-497.860000,	-486.208000,	-425.157600
2016/8/2_19:32:20||	$pS47.441543,	$34916.975993,	B1556.927137,	S-15657.146254,	SC736,	Num0,	GUID363789476		,	-120.096200,	-12.964000,	70.364200,	-222.515800,	-465.932600,	-96.397400,	491.761400,	-355.661200,	360.511000,	-140.092000,	188.013800,	209.040800,	-498.349600,	100.692200,	-432.903200,	344.031400,	-410.473200,	-145.543000,	-234.637400,	-131.264400,	-232.240800,	-121.889600,	484.895800,	-464.718800,	365.658200,	373.142200,	272.480800,	-12.358000,	-278.075200,	233.570200,	91.139400,	-108.764600,	-226.983200,	163.083600,	-27.470200,	14.027200,	21.957800,	-285.990600,	427.109000,	-445.561400,	-214.803800,	-84.280800,	-292.773800,	-404.003400,	-500.000000,	403.605200,	-465.104000,	-145.999000,	-271.338200,	-228.419200
2016/8/2_19:32:44||	$pS14.429120,	$105462.441515,	B-8124.325392,	S-856.105847,	SC7309,	Num0,	GUID10646955		,	-21.108800,	384.878600,	3.338600,	-256.426600,	-414.701600,	449.518600,	296.691600,	142.146400,	-319.482200,	-374.653000,	-164.861600,	477.974200,	-427.604200,	-288.965600,	-476.754400,	-11.642200,	-47.358800,	93.064200,	-388.719400,	467.417200,	-197.842600,	-14.049800,	484.073600,	-403.414400,	158.390800,	391.625400,	-297.116400,	-377.823800,	-429.731600,	-497.644000,	419.143200,	-408.692800,	-442.345200,	-100.065200,	-450.608800,	-195.719200,	151.823400,	-422.995600,	353.055400,	-447.022600,	408.754000,	-491.237000,	74.228000,	-62.591000,	-348.815600,	-29.387600,	-329.980600,	-41.822800,	-289.907800,	-480.910400
2016/8/2_19:33:32||	$pS16.402584,	$15779.285557,	B1846.310521,	S-3431.790444,	SC962,	Num0,	GUID266825862		,	16.072400,	114.874600,	8.781800,	-390.784400,	-488.018400,	314.630800,	-154.314000,	498.875000,	-488.235400,	-493.785200,	-347.688400,	240.734000,	-100.957000,	-486.378600,	-422.358200,	-20.078000,	-145.173200,	-481.693400,	-232.007400,	378.365000,	-34.415800,	-346.572000,	437.673400,	-417.779000,	300.317400,	294.445200,	-454.715000,	-496.872200,	-498.402600,	-379.156000,	367.989400,	-486.366800,	-492.968000,	-310.747000,	-484.541400,	-447.236800,	-16.740400,	-286.605400,	392.065600,	-500.000000,	346.098000,	-477.237600,	150.926600,	-422.881400,	-493.049400,	99.443400,	-474.237600,	-482.137200,	-333.017000,	-480.583000
2016/8/2_19:33:39||	$pS9.754305,	$8086.319057,	B1346.347459,	S-20756.307086,	SC829,	Num0,	GUID99825726		,	-11.091200,	-121.388800,	-371.791600,	55.827800,	466.907800,	-474.670600,	-487.835800,	138.114200,	65.461600,	164.552600,	86.981600,	-115.637800,	273.719400,	-161.895400,	15.430200,	425.456200,	-326.302200,	177.244800,	-98.200400,	-361.601200,	-279.234200,	114.116400,	-344.126200,	-321.246600,	239.849200,	11.426000,	-282.450800,	-13.582000,	296.913200,	-158.820200,	-95.265200,	464.825200,	-321.012800,	27.436600,	2.126000,	60.462600,	251.656400,	-382.614600,	-126.725400,	-476.785000,	-416.685800,	-61.416200,	-58.673000,	-112.602400,	-163.269400,	420.075600,	203.284800,	-303.910600,	-203.550800,	-432.397800
2016/8/2_19:33:49||	$pS20.755947,	$43234.638525,	B1266.180861,	S-187207.732471,	SC2083,	Num0,	GUID454503856		,	-12.203800,	-103.753000,	-460.480800,	406.548400,	409.764800,	-473.544000,	-499.822400,	70.340000,	-103.697600,	-1.626200,	389.700200,	-8.015800,	151.556600,	-194.805200,	-64.877400,	-416.983600,	-84.399200,	223.783800,	224.343800,	-384.558800,	143.613200,	126.053800,	-9.434400,	-184.839600,	301.935800,	441.308400,	-389.866000,	-357.157800,	260.804600,	-58.444000,	-202.742600,	-8.168200,	-464.839200,	-257.817400,	-488.892400,	158.928600,	238.592200,	-244.737800,	197.945800,	-204.617600,	-480.672800,	-3.914400,	-461.300000,	82.653600,	-275.250600,	116.712400,	-279.362000,	-488.864600,	-121.043600,	-499.582400
2016/8/2_19:34:20||	$pS15.925206,	$113897.071785,	B-3149.525333,	S-693.934431,	SC7152,	Num0,	GUID243712668		,	-9.153000,	344.097600,	-47.280400,	14.677000,	-143.540400,	-408.468600,	119.901600,	3.188400,	-212.733200,	253.822600,	-48.594800,	-393.568400,	21.960000,	-497.954000,	-471.404200,	-383.511400,	402.131600,	-18.333200,	474.605800,	-483.800800,	-251.642400,	-447.003400,	-324.844400,	-488.149400,	-33.328800,	426.814400,	95.799000,	-48.560400,	110.770200,	461.004000,	377.243000,	-426.284800,	-499.153000,	-128.049200,	-184.057400,	100.312200,	-448.265000,	-388.436600,	185.648400,	-364.948000,	-301.153000,	-8.471000,	-26.607800,	-77.311400,	-121.721800,	-475.163600,	42.215400,	-26.612600,	-470.773200,	-492.572200
2016/8/2_19:35:13||	$pS37.811687,	$44579.979378,	B1691.674982,	S-2707.833380,	SC1179,	Num0,	GUID84938701		,	3.742200,	452.053600,	14.479200,	-187.015400,	-459.713000,	-300.875200,	300.002200,	153.069400,	-136.880200,	376.318400,	112.835400,	-34.539000,	167.983400,	-500.000000,	-405.247600,	-196.840600,	77.190000,	-499.550600,	477.984600,	-488.994800,	-468.911400,	-473.927000,	-325.590200,	-418.063000,	263.209000,	467.013400,	-204.774200,	-20.200800,	-64.544800,	449.019000,	166.201400,	38.750200,	-325.238000,	157.938200,	102.120200,	223.892000,	-69.244800,	-230.450600,	121.174400,	-458.460600,	-264.162000,	94.020600,	-281.755000,	-393.830000,	-244.072600,	-492.316400,	-108.515600,	144.297400,	-207.493400,	-469.285000
2016/8/2_19:35:41||	$pS15.554177,	$112830.001644,	B-3705.641641,	S-562.346049,	SC7254,	Num0,	GUID42047860		,	-61.913000,	59.852400,	3.612800,	-155.653800,	-187.590000,	-409.861200,	-310.593800,	366.221600,	-277.956600,	252.112400,	273.927400,	-192.766200,	-32.594400,	-477.419000,	-494.067800,	-193.094000,	344.447400,	-412.435800,	418.546600,	-480.288200,	-476.351600,	-85.890600,	-139.314400,	-322.691600,	3.332200,	216.509400,	-26.622400,	88.380400,	-42.717600,	176.628400,	-104.460600,	-333.966600,	-439.361600,	60.115000,	38.640000,	1.765200,	-334.091000,	-394.246000,	-9.661200,	-393.989000,	-496.326800,	126.639000,	-58.699200,	-490.409800,	399.821600,	-270.200600,	-150.626600,	83.432400,	-478.831800,	-207.324200
2016/8/2_19:36:54||	$pS15.263978,	$113701.372564,	B-3127.344675,	S-490.371759,	SC7449,	Num0,	GUID679628565		,	191.894600,	-16.297200,	44.429000,	-11.037200,	-208.812000,	-217.334400,	-12.308000,	391.540400,	-403.568400,	-367.834600,	281.578200,	-486.201200,	-446.952200,	-441.284200,	-495.769200,	158.373400,	235.050000,	-87.151400,	421.487000,	-443.193000,	-455.015800,	-396.436600,	36.152800,	-352.285600,	-303.694000,	418.851600,	374.704800,	24.989000,	-244.028200,	354.400200,	-294.596800,	-211.660400,	-114.427600,	-249.228400,	71.986400,	-252.641400,	-58.280400,	-40.867200,	-206.082200,	-462.451200,	-314.084800,	137.832200,	-395.122400,	-484.656000,	393.288000,	-291.481200,	-497.426800,	59.121000,	-267.472000,	-495.613400
2016/8/2_19:37:49||	$pS32.202375,	$25633.090872,	B1936.823220,	S-14932.971668,	SC796,	Num0,	GUID58184082		,	-7.918400,	-244.597800,	-76.098400,	196.232400,	-302.770800,	-264.413200,	387.874000,	-238.049400,	-369.226400,	110.607600,	486.110800,	-500.000000,	-162.949800,	327.765000,	-487.659200,	55.568800,	263.787200,	-158.087800,	152.660800,	182.563000,	-115.251600,	-440.314200,	152.944800,	-178.127800,	340.587200,	491.625800,	312.520400,	121.084800,	-436.887200,	9.152400,	-264.451600,	-322.635200,	-446.602200,	-297.195400,	163.355400,	437.117200,	-233.251000,	-449.613800,	-461.091200,	-174.849400,	-258.651600,	-260.959600,	-318.822000,	-147.088400,	-462.784200,	-352.553400,	-418.927800,	-500.000000,	-88.575600,	62.647800
2016/8/2_19:37:56||	$pS44.150353,	$31479.201732,	B1809.586479,	S-16765.040230,	SC713,	Num0,	GUID131327376		,	58.786400,	30.782400,	-48.711000,	344.173600,	-464.674600,	-95.424600,	227.420200,	-48.214000,	151.592800,	214.342600,	276.847000,	-484.317800,	144.023400,	343.152000,	-467.772400,	-461.903200,	365.996400,	-7.999800,	337.884600,	168.886600,	-202.348000,	-433.764000,	332.077000,	-333.078600,	151.521800,	220.298600,	122.408200,	39.319000,	-385.708800,	175.606600,	-224.946400,	-281.696800,	-478.825600,	-142.095800,	427.336400,	453.473000,	-345.825000,	-270.404800,	-244.643600,	-314.342800,	-392.717000,	-240.070400,	3.524400,	228.167400,	-206.646600,	68.654000,	-495.406000,	-170.554000,	-152.574200,	355.028200
2016/8/2_19:38:21||	$pS13.200427,	$96429.121167,	B-15539.809272,	S-890.801714,	SC7305,	Num0,	GUID140105349		,	32.110600,	-483.946400,	144.166000,	-6.179000,	-301.269000,	-298.896800,	-500.000000,	-479.101800,	-312.874600,	217.950400,	342.213400,	-479.353800,	-373.490800,	-149.638600,	-500.000000,	268.656400,	323.176000,	-399.527600,	496.562800,	-236.322200,	-265.673800,	-422.318400,	-108.400800,	109.444400,	244.236400,	-489.674600,	367.575800,	314.531200,	-286.430200,	-226.679200,	-492.194400,	-81.114800,	-419.491000,	-463.328600,	-56.385800,	-122.847400,	-458.359200,	-284.798000,	-312.052800,	-215.926000,	-310.991200,	-249.508200,	-477.865800,	-84.364800,	295.385600,	-497.236400,	-153.855400,	-396.202400,	-373.152400,	279.290800
2016/8/2_19:39:13||	$pS34.887415,	$27386.620726,	B2541.149303,	S-227063.840674,	SC785,	Num0,	GUID24096755		,	-24.350400,	-104.357600,	488.460600,	-464.856000,	-357.913400,	97.411400,	326.263800,	-477.617600,	-161.180000,	117.464800,	341.376800,	-475.651600,	-131.641000,	-500.000000,	-247.127600,	253.703200,	320.987800,	119.284200,	188.039400,	-263.206800,	139.955200,	-500.000000,	71.801800,	-391.621600,	469.613400,	-366.125800,	344.270600,	-58.516000,	-4.906600,	-118.619600,	-294.546800,	79.933400,	-439.732400,	-414.574000,	-206.335800,	-430.746000,	-178.302600,	-323.683400,	-364.056200,	-2.698600,	188.214200,	-432.495600,	-454.859200,	-240.161400,	40.273600,	-335.317400,	-460.631400,	-475.444400,	-198.145000,	-175.970000
